Month, Year, Carrier_Name, model_id, Num_Customers
5,2008,AT&T,ASDASDASDGH-123QWE3ASDCD123123TT,1
5,2008,AT&T,ASDASDASDGH-12351ASDZK123123TT,1
5,2008,AT&T,ASDASDASDGH-123ASD1ASDZK123123TT,1
5,2008,AT&T,ASDASDASDGH-123ASD3ASDZO123123TT,1
5,2008,AT&T,ASDASDASDGH-I61ASDWR123123TT,1
5,2008,SPRINT,ASDASDASDPH-M300ZR123ASDASDASDPR,1
5,2008,T-MOBILE,ASDASDASDGH-TASD29ZKBTMB,1
5,2008,US CELLULAR,ASDASDASDCH-U3QWE0ZB123UASDASDASDC,1
5,2008,VERIZON,ASDASDASDCH-UASD00ZN123VZW,1
5,2008,VERIZON,ASDASDASDCH-1238ASD0MASDASDASDCVZW,1
5,2008,VERIZON,ASDASDASDCH-U900ZR123VZW,2
6,2008,AT&T,ASDASDASDGH-123ASD2ASDZK123123TT,1
6,2008,AT&T,ASDASDASDGH-I61ASDZK123123TT,2
6,2008,AT&T,ASDASDASDGH-123QWE3ASDCD123123TT,1
6,2008,AT&T,ASDASDASDGH-123ASD1ASDZK123123TT,1
6,2008,AT&T,ASDASDASDGH-123ASD3ASDZO123123TT,1
6,2008,AT&T,ASDASDASDGH-I61ASDWR123123TT,2
6,2008,SPRINT,ASDASDASDPH-M800ZK123ASDASDASDPR,6
6,2008,VERIZON,ASDASDASDCH-UASD00ZN123VZW,1
6,2008,VERIZON,ASDASDASDCH-UASDQWE0ZK123VZW,1
6,2008,VERIZON,ASDASDASDCH-U5QWE0LB123VZW,1
6,2008,VERIZON,ASDASDASDCH-U5QWE0MASDASDASD123VZW,2
7,2008,AT&T,ASDASDASDGH-123ASD3ASDHB123123TT,4
7,2008,AT&T,ASDASDASDGH-123ASD2ASDZK123123TT,1
7,2008,AT&T,ASDASDASDGH-123ASDQWEASDCN123123TT,1
7,2008,AT&T,ASDASDASDGH-12312ASDEBC123TT,1
7,2008,AT&T,ASDASDASDGH-I61ASDTI123123TT,1
7,2008,AT&T,ASDASDASDGH-I61ASDWR123123TT,1
7,2008,AT&T,ASDASDASDGH-123ASD3ASDZR123123TT,1
7,2008,SPRINT,ASDASDASDPH-M800ZK123ASDASDASDPR,13
7,2008,SPRINT,ASDASDASDPH-M300ZR123ASDASDASDPR,1
7,2008,SPRINT,ASDASDASDPH-M520ZASDASDASD123ASDASDASDPR,1
7,2008,T-MOBILE,ASDASDASDGH-T329NASDASDASDBTMB,1
7,2008,VERIZON,ASDASDASDCH-U3QWE0ZBPVZW,1
7,2008,VERIZON,ASDASDASDCH-UQWE10MASDASDASD123VZW,1
7,2008,VERIZON,ASDASDASDCH-U5QWE0MASDASDASD123VZW,2
8,2008,AT&T,ASDASDASDGH-123QWE3ASDD123123123TT,3
8,2008,AT&T,ASDASDASDGH-123ASD0ASDD123C123TT,1
8,2008,AT&T,ASDASDASDGH-I61ASDZK123123TT,5
8,2008,AT&T,ASDASDASDGH-12382ASDDK123123TT,1
8,2008,AT&T,ASDASDASDGH-123ASD0ASDZRC123TT,1
8,2008,AT&T,ASDASDASDGH-I61ASDWR123123TT,2
8,2008,AT&T,ASDASDASDGH-123ASD3ASDZR123123TT,1
8,2008,SPRINT,ASDASDASDPH-M800ZK123ASDASDASDPR,5
8,2008,SPRINT,ASDASDASDPH-M520ZASDASDASD123ASDASDASDPR,1
8,2008,VERIZON,ASDASDASDCH-UQWEASD0ZR123VZW,1
8,2008,VERIZON,ASDASDASDCH-UQWEASD0GB123VZW,1
8,2008,VERIZON,ASDASDASDCH-UQWE10MASDASDASD123VZW,1
8,2008,VERIZON,ASDASDASDCH-1238ASD0MASDASDASD123VZW,1
9,2008,AT&T,ASDASDASDGH-123ASD3ASDHB123123TT,1
9,2008,AT&T,ASDASDASDGH-123ASDQWEASDCN123123TT,1
9,2008,AT&T,ASDASDASDGH-I61ASDEB123123TT,1
9,2008,AT&T,ASDASDASDGH-I60ASDZKB123TT,1
9,2008,AT&T,ASDASDASDGH-I61ASDWR123123TT,2
9,2008,AT&T,ASDASDASDGH-123ASD3ASDZR123123TT,1
9,2008,CRICKET,ASDASDASDCH-U3QWE0ZB123CRI,1
9,2008,SPRINT,ASDASDASDPH-M610D123123ASDASDASDPR,1
9,2008,SPRINT,ASDASDASDPH-M800ZK123ASDASDASDPR,5
9,2008,VERIZON,ASDASDASDCH-IASD60ZK123VZW,1
9,2008,VERIZON,ASDASDASDCH-U3QWE0ZB123VZW,1
9,2008,VERIZON,ASDASDASDCH-UQWEASD0NBPVZW,1
9,2008,VERIZON,ASDASDASDCH-UQWEASD0NB123VZW,1
10,2008,AT&T,ASDASDASDGH-123QWE3ASDD123123123TT,1
10,2008,AT&T,ASDASDASDGH-I61ASDZK123123TT,4
10,2008,AT&T,ASDASDASDGH-I61ASDWR123123TT,1
10,2008,METRO PCS,ASDASDASDCH-RQWE50ZK123MTR,1
10,2008,SPRINT,ASDASDASDPH-M800ZK123ASDASDASDPR,4
10,2008,SPRINT,ASDASDASDPH-M520ZASDASDASD123ASDASDASDPR,1
10,2008,VERIZON,ASDASDASDCH-UASD00ZN123VZW,1
10,2008,VERIZON,ASDASDASDCH-UQWEASD0ZR123VZW,1
10,2008,VERIZON,ASDASDASDCH-123930ZK123VZW,1
10,2008,VERIZON,ASDASDASDCH-UQWE10MASDASDASD123VZW,1
10,2008,VERIZON,ASDASDASDCH-IASD60ZK123VZW,1
10,2008,VERIZON,ASDASDASDCH-U550ZN123VZW,1
10,2008,VERIZON,ASDASDASDCH-UASDQWE0Z123123VZW,1
11,2008,AT&T,ASDASDASDGH-123QWE3ASDD123123123TT,1
11,2008,AT&T,ASDASDASDGH-I61ASDZK123123TT,1
11,2008,AT&T,ASDASDASDGH-I60ASDZKB123TT,1
