Campaign_Name,Audience,Version,Subject_Line,Deployment_Date,Delivered,numOpened,Open_Rate,Click_to_Open_Rate,Click_Rate,Unsub_Rate
"PO_BRX PRC",,H2,,"2013-12-14 00:00:00",137,46,0.3358,0.2826,0.0949,0.0000
"PO_BRX PRC",,H3,,"2014-12-14 00:00:00",15,2,0.1333,0.5000,0.0667,0.0000
"PO_BRX PRC",,J1,,"2014-01-04 00:00:00",877,303,0.3455,0.3036,0.1049,0.0011
"PO_BRX PRC",,J2,,"2014-01-01 00:00:00",855,252,0.2944,0.2183,0.0643,0.0023
"PO_BRX PRC",,K1,,"2014-09-25 00:00:00",94,56,0.5895,0.3571,0.2105,0.0000
"PO_BRX PRC",,K2,,"2013-12-29 00:00:00",89,46,0.5169,0.3043,0.1573,0.0000
"PO_BRX PRC",,K3,,"2014-07-27 00:00:00",15,7,0.4667,0.2857,0.1333,0.0000
"PO_BRX PRC",,L1,,"2014-03-25 00:00:00",1129,319,0.2823,0.3793,0.1071,0.0027
"PO_BRX PRC",,L2,,"2014-05-19 00:00:00",1115,272,0.2439,0.2904,0.0709,0.0027
"PO_BRX PRC",,L3,,"2014-03-31 00:00:00",1089,241,0.2213,0.3154,0.0698,0.0009
"PO_BRX PRC",,L4,,"2014-03-21 00:00:00",1066,197,0.1846,0.2843,0.0525,0.0009
"PO_BRX PRC",,L5,,"2014-07-30 00:00:00",492,73,0.1484,0.0959,0.0142,0.0000
"PO_BRX PRC",,M1,,"2014-08-10 00:00:00",1,1,1.0000,1.0000,1.0000,0.0000
"PO_BRX PRC",,M2,,"2014-03-07 00:00:00",1,0,0.0000,0.0000,0.0000,0.0000
"PO_BRX PRC",,M3,,"2014-03-10 00:00:00",2,0,0.0000,0.0000,0.0000,0.0000
"PO_BRX PRC",,M4,,"2014-08-29 00:00:00",2,1,0.5000,1.0000,0.5000,0.0000
"PO_BRX PRC",,N1,,"2014-05-13 00:00:00",58,25,0.4310,0.3600,0.1552,0.0000
"PO_BRX PRC",,O1,,"2014-04-01 00:00:00",20,15,0.7500,0.3333,0.2500,0.0500
"PO_BRX PRC",,O2,,"2014-09-10 00:00:00",17,7,0.4118,0.4286,0.1765,0.0000
"PO_BRX PRC",,O3,,"2014-03-27 00:00:00",17,7,0.4118,0.0000,0.0000,0.0000
"PO_BRX PRC",,P1,,"2015-02-02 00:00:00",6,5,0.8333,0.8000,0.6667,0.0000
"PO_BRX PRC",,P2,,"2014-04-27 00:00:00",6,4,0.6667,0.2500,0.1667,0.0000
"PO_BRX PRC",,P3,,"2014-05-09 00:00:00",6,4,0.6667,0.2500,0.1667,0.0000
"PO_BRX PRC",,P4,,"2014-10-21 00:00:00",6,3,0.5000,0.3333,0.1667,0.0000
"PO_BRX PRC",,P5,,"2014-10-04 00:00:00",3,1,0.3333,0.0000,0.0000,0.0000
"PO_BRX PRC",,P6,,"2014-10-30 00:00:00",3,2,0.6667,0.5000,0.3333,0.0000
