Carrier,Reg_Year,Reg_Month,Device_Model,Count
VERIZON,2008,5,ASDASDASDCH-U900ZR123VZW,2
VERIZON,2008,5,ASDASDASDCH-UASD00ZN123VZW,1
SPRINT,2008,5,ASDASDASDPH-M300ZR123ASDASDASDPR,1
T-MOBILE,2008,5,ASDASDASDGH-TASD29ZKBTMB,1
AT&T,2008,5,ASDASDASDGH-12351ASDZK123123TT,1
AT&T,2008,5,ASDASDASDGH-123ASD1ASDZK123123TT,1
AT&T,2008,5,ASDASDASDGH-123ASD3ASDZO123123TT,1
AT&T,2008,5,ASDASDASDGH-123QWE3ASDCD123123TT,1
AT&T,2008,5,ASDASDASDGH-I61ASDWR123123TT,1
AT&T,2008,5,ASDASDASDGH-I61ASDZK123123TT,4
"US CELLULAR",2008,5,ASDASDASDCH-U3QWE0ZB123UASDASDASDC,1
VERIZON,2008,6,ASDASDASDCH-U5QWE0LB123VZW,1
VERIZON,2008,6,ASDASDASDCH-U5QWE0MASDASDASD123VZW,2
VERIZON,2008,6,ASDASDASDCH-UASD00ZN123VZW,1
VERIZON,2008,6,ASDASDASDCH-UASDQWE0ZK123VZW,1
AT&T,2008,6,ASDASDASDGH-123ASD1ASDZK123123TT,1
AT&T,2008,6,ASDASDASDGH-123ASD2ASDZK123123TT,1
AT&T,2008,6,ASDASDASDGH-123ASD3ASDZO123123TT,1
AT&T,2008,6,ASDASDASDGH-123QWE3ASDCD123123TT,1
AT&T,2008,6,ASDASDASDGH-I61ASDWR123123TT,2
AT&T,2008,6,ASDASDASDGH-I61ASDZK123123TT,2
SPRINT,2008,6,ASDASDASDPH-M800ZK123ASDASDASDPR,6
SPRINT,2008,7,ASDASDASDPH-M300ZR123ASDASDASDPR,1
SPRINT,2008,7,ASDASDASDPH-M520ZASDASDASD123ASDASDASDPR,1
SPRINT,2008,7,ASDASDASDPH-M800ZK123ASDASDASDPR,13
T-MOBILE,2008,7,ASDASDASDGH-T329NASDASDASDBTMB,1
AT&T,2008,7,ASDASDASDGH-12312ASDEBC123TT,1
AT&T,2008,7,ASDASDASDGH-123ASD2ASDZK123123TT,1
AT&T,2008,7,ASDASDASDGH-123ASD3ASDHB123123TT,6
AT&T,2008,7,ASDASDASDGH-123ASD3ASDZR123123TT,1
AT&T,2008,7,ASDASDASDGH-123ASDQWEASDCN123123TT,1
AT&T,2008,7,ASDASDASDGH-I61ASDTI123123TT,1
AT&T,2008,7,ASDASDASDGH-I61ASDWR123123TT,1
VERIZON,2008,7,ASDASDASDCH-U3QWE0ZBPVZW,1
VERIZON,2008,7,ASDASDASDCH-U5QWE0MASDASDASD123VZW,2
VERIZON,2008,7,ASDASDASDCH-UQWE10MASDASDASD123VZW,1
VERIZON,2008,8,ASDASDASDCH-1238ASD0MASDASDASD123VZW,1
VERIZON,2008,8,ASDASDASDCH-UQWE10MASDASDASD123VZW,1
VERIZON,2008,8,ASDASDASDCH-UQWEASD0GB123VZW,1
VERIZON,2008,8,ASDASDASDCH-UQWEASD0ZR123VZW,1
SPRINT,2008,8,ASDASDASDPH-M520ZASDASDASD123ASDASDASDPR,1
SPRINT,2008,8,ASDASDASDPH-M800ZK123ASDASDASDPR,5
AT&T,2008,8,ASDASDASDGH-12382ASDDK123123TT,1
AT&T,2008,8,ASDASDASDGH-123ASD0ASDD123C123TT,1
AT&T,2008,8,ASDASDASDGH-123ASD0ASDZRC123TT,1
AT&T,2008,8,ASDASDASDGH-123ASD3ASDZR123123TT,1
AT&T,2008,8,ASDASDASDGH-123QWE3ASDD123123123TT,4
AT&T,2008,8,ASDASDASDGH-I61ASDWR123123TT,2
AT&T,2008,8,ASDASDASDGH-I61ASDZK123123TT,5
AT&T,2008,9,ASDASDASDGH-123ASD3ASDHB123123TT,1
AT&T,2008,9,ASDASDASDGH-123ASD3ASDZR123123TT,1
AT&T,2008,9,ASDASDASDGH-123ASDQWEASDCN123123TT,1
AT&T,2008,9,ASDASDASDGH-I60ASDZKB123TT,1
AT&T,2008,9,ASDASDASDGH-I61ASDEB123123TT,1
AT&T,2008,9,ASDASDASDGH-I61ASDWR123123TT,2
VERIZON,2008,9,ASDASDASDCH-IASD60ZK123VZW,1
VERIZON,2008,9,ASDASDASDCH-U3QWE0ZB123VZW,1
VERIZON,2008,9,ASDASDASDCH-UQWEASD0NB123VZW,1
VERIZON,2008,9,ASDASDASDCH-UQWEASD0NBPVZW,1
CRICKET,2008,9,ASDASDASDCH-U3QWE0ZB123CRI,1
SPRINT,2008,9,ASDASDASDPH-M610D123123ASDASDASDPR,1
SPRINT,2008,9,ASDASDASDPH-M800ZK123ASDASDASDPR,5
SPRINT,2008,10,ASDASDASDPH-M520ZASDASDASD123ASDASDASDPR,1
SPRINT,2008,10,ASDASDASDPH-M800ZK123ASDASDASDPR,4
VERIZON,2008,10,ASDASDASDCH-123930ZK123VZW,1
VERIZON,2008,10,ASDASDASDCH-IASD60ZK123VZW,1
VERIZON,2008,10,ASDASDASDCH-U550ZN123VZW,1
VERIZON,2008,10,ASDASDASDCH-UASD00ZN123VZW,1
VERIZON,2008,10,ASDASDASDCH-UASDQWE0Z123123VZW,1
VERIZON,2008,10,ASDASDASDCH-UQWE10MASDASDASD123VZW,2
VERIZON,2008,10,ASDASDASDCH-UQWEASD0ZR123VZW,1
AT&T,2008,10,ASDASDASDGH-123QWE3ASDD123123123TT,1
AT&T,2008,10,ASDASDASDGH-I61ASDWR123123TT,1
AT&T,2008,10,ASDASDASDGH-I61ASDZK123123TT,4
"METRO PCS",2008,10,ASDASDASDCH-RQWE50ZK123MTR,1
AT&T,2008,11,ASDASDASDGH-12386ASDZK123123TT,1
AT&T,2008,11,ASDASDASDGH-123ASD3ASDZO123123TT,1
AT&T,2008,11,ASDASDASDGH-123QWE3ASDCD123123TT,1
AT&T,2008,11,ASDASDASDGH-123QWE3ASDD123123123TT,1
AT&T,2008,11,ASDASDASDGH-I60ASDZKB123TT,1
AT&T,2008,11,ASDASDASDGH-I61ASDZK123123TT,1
SPRINT,2008,11,ASDASDASDPH-M5QWE0ZR123ASDASDASDPR,1
SPRINT,2008,11,ASDASDASDPH-M620ZR123ASDASDASDPR,1
SPRINT,2008,11,ASDASDASDPH-M800ZK123ASDASDASDPR,5
