Campaign Name,Audience,Version,Subject Line,Deployment Date,Unique Emails Delivered,Unique Emails Opened,Unique Clickers,Open Rate,Click Rate,Click To Open Rate,Unsub Rate
AR_PRC_Trigger,,BRX Alpha X 4,S4,6/9/2014,17,10,4,0.5882,0.2353,0.4,0
AR_PRC_Trigger,,BRX Alpha X 4,S4,6/17/2014,21,11,5,0.5238,0.2381,0.45454546,0
AR_PRC_Trigger,,BRX Alpha X 4,S4,7/15/2014,10,2,0,0.2,0,0,0
AR_PRC_Trigger,,BRX Alpha X 4,S4,7/28/2014,14,6,4,0.4286,0.2857,0.66666667,0
AR_PRC_Trigger,,BRX Alpha X 4,S4,10/1/2014,7,3,1,0.4286,0.1429,0.33333333,0
AR_PRC_Trigger,,BRX Alpha X 4,S4,10/3/2014,14,8,3,0.5714,0.2143,0.375,0
AR_PRC_Trigger,,BRX Alpha X 4,S4,11/5/2014,13,2,1,0.1538,0.0769,0.5,0.5
AR_PRC_Trigger,,BRX Alpha X 4,S4,12/25/2014,7,4,1,0.5714,0.1429,0.25,0
AR_PRC_Trigger,,BRX Alpha X 4,S4,12/27/2014,6,2,1,0.3333,0.1667,0.5,0
AR_PRC_Trigger,,BRX Alpha X 4,S4,1/19/2015,4,2,1,0.5,0.25,0.5,0
AR_PRC_Trigger,,BRX Alpha X 4,S4,4/18/2015,3,0,0,0,0,0,0
AR_PRC_Trigger,,BRX Alpha X 5,S4,6/9/2014,16,9,4,0.5625,0.25,0.44444444,0
AR_PRC_Trigger,,BRX Alpha X 5,S4,8/29/2014,14,7,6,0.5,0.4286,0.85714286,0
AR_PRC_Trigger,,BRX Alpha X 5,S4,9/6/2014,9,5,1,0.5556,0.1111,0.2,0
AR_PRC_Trigger,,BRX Alpha X 5,S4,9/20/2014,14,6,2,0.4286,0.1429,0.33333333,0
AR_PRC_Trigger,,BRX Alpha X 5,S4,11/2/2014,17,9,1,0.5294,0.0588,0.11111111,0
AR_PRC_Trigger,,BRX Alpha X 5,S4,11/13/2014,7,4,2,0.5714,0.2857,0.5,0
AR_PRC_Trigger,,BRX Alpha X 5,S4,11/19/2014,7,5,2,0.7143,0.2857,0.4,0
AR_PRC_Trigger,,BRX Alpha X 5,S4,3/2/2015,6,3,2,0.5,0.3333,0.66666667,0
AR_PRC_Trigger,,BRX Alpha X 5,S4,3/21/2015,12,7,4,0.5833,0.3333,0.57142857,0
AR_PRC_Trigger,,BRX Alpha X 5 Group2's Crux,S3,6/17/2014,1,1,1,1,1,1,0
AR_PRC_Trigger,,BRX Generic,S3,3/1/2014,57,18,6,0.3158,0.1053,0.33333333,0
AR_PRC_Trigger,,BRX Generic,S3,3/4/2014,24,13,4,0.5417,0.1667,0.30769231,0
AR_PRC_Trigger,,BRX Generic,S3,3/9/2014,52,14,4,0.2692,0.0769,0.28571428,0
AR_PRC_Trigger,,BRX Generic,S3,3/10/2014,33,10,0,0.303,0,0,0
